admin_id,lan_name,east_west,mean_livespace_district,mean_vacancy_district,total_population,income_weighted_sum,mean_income_district,mean_green_area_district
05119,Nordrhein-Westfalen,West,52.0623376623,3.86368421053,212127,0,0,5546000
05120,Nordrhein-Westfalen,West,58.3285135135,4.63584615385,113743,0,0,820700
05122,Nordrhein-Westfalen,West,57.3598823529,3.86666666667,164621,0,0,3467900
05124,Nordrhein-Westfalen,West,57.5096407186,3.92664516129,356768,0,0,4142800
05154,Nordrhein-Westfalen,West,70.12506863981875,2.707694409846875,315361,6218778000,19719.553147028328,36.36363636363636
05158,Nordrhein-Westfalen,West,61.307012376130004,3.2822700770360003,488128,12070100000,24727.325619509636,819580
05162,Nordrhein-Westfalen,West,62.965725682,2.53233657880625,454412,11863838000,26108.108940785016,1086437.5
05166,Nordrhein-Westfalen,West,65.87625253824444,3.9449484240033335,294485,6738212000,22881.342003837206,0
05170,Nordrhein-Westfalen,West,65.84686232898461,2.7335681963407694,453093,9845776000,21730.14370118276,969823.0769230769
05314,Nordrhein-Westfalen,West,57.0864957265,2.7785840708,321544,0,0,6915900
05315,Nordrhein-Westfalen,West,55.1869552239,2.44318471338,1017355,0,0,36194000
05316,Nordrhein-Westfalen,West,55.2116883117,2.72263157895,166356,0,0,4179100
05334,Nordrhein-Westfalen,West,62.524680322180004,3.318494577139,577572,11354928000,19659.761899815087,990530
05358,Nordrhein-Westfalen,West,65.59776252207334,2.485839128927333,275392,5548426000,20147.375377643504,214060
05362,Nordrhein-Westfalen,West,61.97378814176,2.393805743936,471257,11135480000,23629.314790019034,844170
05366,Nordrhein-Westfalen,West,68.3928343254,4.063002603841818,197836,4180434000,21130.805313491983,0
05370,Nordrhein-Westfalen,West,65.33210899993,3.36182118398,258975,5123226000,19782.704894294817,0
05374,Nordrhein-Westfalen,West,63.47180332780769,4.434653371635385,272744,5762279000,21127.060540286864,0
05378,Nordrhein-Westfalen,West,64.5887154769375,3.6030129872425,282677,7751393000,27421.37846375899,390537.5
05382,Nordrhein-Westfalen,West,65.0354238320842,2.66770426745,600286,15021697000,25024.233448722774,354400
05512,Nordrhein-Westfalen,West,56.1807865169,2.70283950617,117921,0,0,4009200
05513,Nordrhein-Westfalen,West,50.9791836735,4.80691489362,264130,0,0,12166700
05515,Nordrhein-Westfalen,West,61.1905985915,2.38523206751,303772,0,0,5220700
05554,Nordrhein-Westfalen,West,65.88764182361176,1.312755457904647,374418,8159044000,21791.270718822278,511864.70588235295
05558,Nordrhein-Westfalen,West,67.01525822102727,1.3770324045143636,222953,5340817000,23954.90080869062,317536.36363636365
05562,Nordrhein-Westfalen,West,58.2896609486,3.074384266413,618350,12039281000,19470.01051184604,1782320
05566,Nordrhein-Westfalen,West,68.291589126375,2.094701076581208,443690,9617688000,21676.594018346143,25
05570,Nordrhein-Westfalen,West,70.24941091354616,1.700911654432923,279209,6275325000,22475.367914358063,0
05711,Nordrhein-Westfalen,West,56.9224513619,3.7119650655,330072,0,0,11080900
05754,Nordrhein-Westfalen,West,68.19798021246923,3.7698218673007693,359571,8498433000,23634.9232835796,1612.5
05758,Nordrhein-Westfalen,West,64.16093776421111,4.775694166496667,254008,5277822000,20778.17234102863,0
05762,Nordrhein-Westfalen,West,72.41824716422,3.922769933178,138447,2827581000,20423.562807428112,0
05766,Nordrhein-Westfalen,West,64.96117415618124,4.810459730766875,348030,6978801000,20052.297215757262,1000
05770,Nordrhein-Westfalen,West,68.65201604387272,3.6633904834009092,319456,6512614000,20386.575929079434,0
05774,Nordrhein-Westfalen,West,63.73857675654,2.813318347663,313102,6573886000,20995.98852770024,318390
05911,Nordrhein-Westfalen,West,53.1623239437,3.73414285714,354288,0,0,12727000
05913,Nordrhein-Westfalen,West,54.0484328358,3.10109375,598246,0,0,11912400
05914,Nordrhein-Westfalen,West,58.2753896104,5.84721428571,189614,0,0,1916500
05915,Nordrhein-Westfalen,West,63.3386915888,2.41448648649,179070,0,0,3298100
05916,Nordrhein-Westfalen,West,50.8073076923,4.35538461538,155446,0,0,5943700
05954,Nordrhein-Westfalen,West,60.7795679397,4.704108451551111,314154,7400830000,23557.968384932232,414400
05958,Nordrhein-Westfalen,West,66.48086911841666,5.452383001734167,260512,5753984000,22087.21287311141,0
05962,Nordrhein-Westfalen,West,63.35212791683333,5.414035719034667,409960,8393103000,20472.980290760075,379673.3333333334
05966,Nordrhein-Westfalen,West,66.14563861514286,4.239596109058572,132230,3190724000,24130.10663238297,0
05970,Nordrhein-Westfalen,West,64.87581006001818,3.906079362390909,273746,5944025000,21713.650610419878,174045.45454545453
05974,Nordrhein-Westfalen,West,68.3085625523,3.1946316024685713,298067,6589307000,22106.79813598956,0
05978,Nordrhein-Westfalen,West,62.90619872374,2.578067701015,393393,7858273000,19975.62996799638,507200
06411,Hessen,West,54.9504347826,2.92516666667,161767,0,0,3227700
06412,Hessen,West,50.5305418719,3.13530927835,743268,0,0,11245700
06413,Hessen,West,50.9384210526,3.43171428571,129479,0,0,1258500
06414,Hessen,West,58.539375,3.82649253731,284260,0,0,3829400
06431,Hessen,West,65.52212216241304,4.0656440577204345,271617,6511477000,23973.0097895198,89069.56521739131
06432,Hessen,West,62.27574021273478,2.7622010203926086,299862,7400693000,24680.32961829108,97943.47826086957
06433,Hessen,West,59.52826474893571,2.958153452465,264354,5879189000,22239.833707831167,269728.5714285714
06434,Hessen,West,67.14174512192308,3.428876896466923,238604,8346160000,34979.12859801177,276315.3846153846
06435,Hessen,West,64.23583439286666,3.952836639256333,412094,9688624000,23510.71357505812,165070
06436,Hessen,West,58.79474450184166,2.7743843093175,237050,7387707000,31165.184560219364,265383.3333333333
06437,Hessen,West,66.59127823878333,4.549831567335,94576,1897823000,20066.64481475216,0
06438,Hessen,West,59.245994297823074,2.7328267226746155,351706,8734682000,24835.180520093487,184038.46153846153
06439,Hessen,West,65.15066849685294,3.8550052022029413,185308,4813072000,25973.36326548233,127129.41176470587
06440,Hessen,West,64.996435652192,3.0382082923664,307056,7601879000,24757.304856443123,167372
06531,Hessen,West,65.42252938783889,3.637730637973333,264705,5592999000,21129.17776392588,131655.55555555556
06532,Hessen,West,67.38825972843478,3.5723219125178263,251972,5127290000,20348.649849983332,126208.6956521739
06533,Hessen,West,68.73879965996316,3.2745534160473686,173279,3744752000,21611.112714177714,0
06534,Hessen,West,67.58537276759546,3.0653463965695456,240664,5067959000,21058.234717282186,183909.0909090909
06535,Hessen,West,72.00792052241053,5.265456854510527,101014,2005588000,19854.554814184172,0
06611,Hessen,West,58.1582716049,3.99831168831,195012,0,0,8282000
06631,Hessen,West,64.1399896879087,5.085756171278261,219953,4656437000,21170.145440162218,172200
06632,Hessen,West,68.22147205653,4.6773627674335,118253,2314041000,19568.560628483,0
06633,Hessen,West,67.69921393360714,4.381737396736786,229935,5011452000,21795.081218605257,232432.14285714284
06634,Hessen,West,68.9933353037111,4.853902981501111,178587,3691351000,20669.76319664925,0
06635,Hessen,West,70.08992683888572,4.502372671357143,152617,3106347000,20353.872766467695,0
06636,Hessen,West,69.13717374010625,5.23897037067875,98421,1769769000,17981.61977626726,0
07111,Rheinland-Pfalz,West,60.6628571429,4.46885714286,112963,0,0,3429700
07131,Rheinland-Pfalz,West,70.95515823038379,5.330953188145,127699,2893000000,22654.836764579206,0
07132,Rheinland-Pfalz,West,65.97517802663475,4.752146836244805,131159,2632228000,20068.984972438033,6883.050847457623
07133,Rheinland-Pfalz,West,65.58016147215,5.985218764991864,163672,3285285000,20072.37035045701,0
07134,Rheinland-Pfalz,West,67.23894266699688,6.244983713624375,82062,1447254000,17636.104408861593,142.85714285714286
07135,Rheinland-Pfalz,West,70.45588884430225,4.741777510255056,61536,1231974000,20020.378315132606,0
07137,Rheinland-Pfalz,West,69.07837206235287,4.281997642203574,215317,4713227000,21889.71144870122,22839.080459770117
07138,Rheinland-Pfalz,West,68.51910448286452,4.208165037471725,186866,3944225000,21107.237271627797,0
07140,Rheinland-Pfalz,West,71.72417314214452,5.341717246864963,105319,2264402000,21500.413030887114,0
07141,Rheinland-Pfalz,West,67.18885622555766,6.082719145413306,124391,2570804000,20667.122219453177,0
07143,Rheinland-Pfalz,West,66.53287214391459,4.023539107857427,206605,4527251000,21912.5916604148,0
07211,Rheinland-Pfalz,West,64.556746988,5.17641025641,102727,0,0,1690300
07231,Rheinland-Pfalz,West,72.1372747167916,5.282040473588691,112796,2253720000,19980.495762261075,0
