Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;videlicet:;;;;;;
;;;Europe;7415;e;7295;e;14705;e
;;;EU-27 (since 2020-02-01);3910;e;3185;e;7100;e
;;;EU-27 third countries (since 2020-02-01);7905;e;7705;e;15610;e
;;;EU-28 (until 2020-01-31);3965;e;3225;e;7190;e
;;;EU-28 third countries (until 2020-01-31);7855;e;7665;e;15520;e
;;;EU-27 (until 2013-06-30);3830;e;3120;e;6950;e
;;;EU-27 third countries (until 2013-06-30);7985;e;7770;e;15755;e
;;;EU-25 (until 2006-12-31);2655;e;2240;e;4895;e
;;;EU-25 third countries (until 2006-12-31);9165;e;8650;e;17810;e
;;;EU-15 (until 2004-04-30);1025;e;850;e;1875;e
;;;EU-15 third countries (until 2004-04-30);10790;e;10040;e;20835;e
;;;EC-12 (until 1994-12-31);905;e;695;e;1600;e
;;;EC-12 third countries (until 1994-12-31);10915;e;10195;e;21110;e
;;;EC-10 (until 1985-12-31);615;e;505;e;1120;e
;;;EC-10 third countries (until 1985-12-31);11205;e;10385;e;21590;e
;;;EC-9 (until 1980-12-31);490;e;420;e;910;e
;;;EC-9 third countries (until 1980-12-31);11330;e;10470;e;21800;e
;;;EEC-6 (until 1972-12-31);395;e;295;e;690;e
;;;EEC-6 third countries (until 1972-12-31);11420;e;10595;e;22020;e
;;;Africa;560;e;440;e;1000;e
;;;North Africa;100;e;85;e;185;e
;;;West Africa;165;e;110;e;275;e
;;;Central Africa;20;e;30;e;50;e
;;;East Africa;265;e;195;e;465;e
;;;Southern Africa;10;e;15;e;30;e
;;;America;130;e;170;e;300;e
;;;North America;55;e;60;e;115;e
;;;Central America and Caribbean;15;e;25;e;40;e
;;;South America;60;e;85;e;145;e
;;;Asia;3635;e;2920;e;6550;e
;;;South West Asia;2105;e;1600;e;3710;e
;;;South and South East Asia;190;e;305;e;490;e
;;;East and Central Asia;1335;e;1015;e;2350;e
;;;Australia and Oceania;20;e;20;e;40;e
;;;Countries of origin of foreign workers;2760;e;2350;e;5105;e
;;;Territory of former Yugoslavia;750;e;665;e;1415;e
;;;Territory of former Serbia and Montenegro;335;e;330;e;670;e
;;;Territory of the former Soviet Union;1850;e;2650;e;4500;e
;;;Territory of former Czechoslovakia;25;e;40;e;65;e
;;;United Kingdom incl. British overseas territories;55;e;40;e;95;e
;01054;Nordfriesland, Landkreis;Total;9265;e;8530;e;17795;e
;;;videlicet:;;;;;;
;;;Europe;5670;e;5960;e;11630;e
;;;EU-27 (since 2020-02-01);3460;e;3310;e;6765;e
;;;EU-27 third countries (since 2020-02-01);5805;e;5220;e;11025;e
;;;EU-28 (until 2020-01-31);3510;e;3345;e;6855;e
;;;EU-28 third countries (until 2020-01-31);5755;e;5185;e;10940;e
;;;EU-27 (until 2013-06-30);3355;e;3245;e;6600;e
;;;EU-27 third countries (until 2013-06-30);5910;e;5285;e;11195;e
;;;EU-25 (until 2006-12-31);2480;e;2595;e;5070;e
;;;EU-25 third countries (until 2006-12-31);6785;e;5935;e;12720;e
;;;EU-15 (until 2004-04-30);1050;e;940;e;1985;e
;;;EU-15 third countries (until 2004-04-30);8220;e;7590;e;15805;e
;;;EC-12 (until 1994-12-31);895;e;750;e;1645;e
;;;EC-12 third countries (until 1994-12-31);8370;e;7780;e;16145;e
;;;EC-10 (until 1985-12-31);795;e;665;e;1460;e
;;;EC-10 third countries (until 1985-12-31);8475;e;7860;e;16335;e
;;;EC-9 (until 1980-12-31);720;e;640;e;1360;e
;;;EC-9 third countries (until 1980-12-31);8550;e;7885;e;16435;e
;;;EEC-6 (until 1972-12-31);410;e;245;e;655;e
;;;EEC-6 third countries (until 1972-12-31);8855;e;8280;e;17140;e
;;;Africa;730;e;500;e;1235;e
;;;North Africa;140;e;65;e;210;e
;;;West Africa;345;e;245;e;590;e
;;;Central Africa;25;e;25;e;50;e
;;;East Africa;205;e;155;e;360;e
;;;Southern Africa;15;e;10;e;25;e
;;;America;160;e;195;e;355;e
;;;North America;100;e;105;e;205;e
;;;Central America and Caribbean;15;e;25;e;40;e
;;;South America;45;e;65;e;110;e
;;;Asia;2640;e;1825;e;4465;e
;;;South West Asia;1760;e;1115;e;2880;e
;;;South and South East Asia;185;e;295;e;480;e
;;;East and Central Asia;695;e;410;e;1105;e
;;;Australia and Oceania;10;e;10;e;20;e
;;;Countries of origin of foreign workers;1350;e;885;e;2235;e
;;;Territory of former Yugoslavia;515;e;405;e;920;e
;;;Territory of former Serbia and Montenegro;190;e;190;e;380;e
;;;Territory of the former Soviet Union;1740;e;2375;e;4115;e
;;;Territory of former Czechoslovakia;65;e;90;e;155;e
;;;United Kingdom incl. British overseas territories;55;e;35;e;90;e
;01055;Ostholstein, Landkreis;Total;9035;e;8410;e;17445;e
;;;videlicet:;;;;;;
;;;Europe;5205;e;5575;e;10780;e
