Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;Territory of former Yugoslavia;5555;e;4475;e;10030;e
;;;Territory of former Serbia and Montenegro;2245;e;1830;e;4070;e
;;;Territory of the former Soviet Union;1475;e;2520;e;3995;e
;;;Territory of former Czechoslovakia;290;e;320;e;610;e
;;;United Kingdom incl. British overseas territories;165;e;105;e;270;e
;09180;Garmisch-Partenkirchen, Landkreis;Total;7230;e;6940;e;14170;e
;;;videlicet:;;;;;;
;;;Europe;5530;e;5575;e;11105;e
;;;EU-27 (since 2020-02-01);3560;e;3305;e;6870;e
;;;EU-27 third countries (since 2020-02-01);3670;e;3630;e;7300;e
;;;EU-28 (until 2020-01-31);3670;e;3375;e;7045;e
;;;EU-28 third countries (until 2020-01-31);3555;e;3565;e;7120;e
;;;EU-27 (until 2013-06-30);3355;e;3065;e;6420;e
;;;EU-27 third countries (until 2013-06-30);3870;e;3875;e;7745;e
;;;EU-25 (until 2006-12-31);2660;e;2415;e;5075;e
;;;EU-25 third countries (until 2006-12-31);4570;e;4520;e;9090;e
;;;EU-15 (until 2004-04-30);1795;e;1455;e;3255;e
;;;EU-15 third countries (until 2004-04-30);5435;e;5480;e;10915;e
;;;EC-12 (until 1994-12-31);1355;e;945;e;2300;e
;;;EC-12 third countries (until 1994-12-31);5870;e;5995;e;11865;e
;;;EC-10 (until 1985-12-31);1160;e;790;e;1950;e
;;;EC-10 third countries (until 1985-12-31);6070;e;6150;e;12220;e
;;;EC-9 (until 1980-12-31);820;e;535;e;1355;e
;;;EC-9 third countries (until 1980-12-31);6405;e;6405;e;12810;e
;;;EEC-6 (until 1972-12-31);675;e;430;e;1110;e
;;;EEC-6 third countries (until 1972-12-31);6550;e;6510;e;13060;e
;;;Africa;350;e;290;e;640;e
;;;North Africa;90;e;55;e;145;e
;;;West Africa;135;e;120;e;255;e
;;;Central Africa;15;e;25;e;45;e
;;;East Africa;100;e;80;e;180;e
;;;Southern Africa;5;e;10;e;15;e
;;;America;370;e;365;e;740;e
;;;North America;275;e;210;e;485;e
;;;Central America and Caribbean;15;e;25;e;40;e
;;;South America;80;e;130;e;215;e
;;;Asia;880;e;650;e;1530;e
;;;South West Asia;390;e;240;e;630;e
;;;South and South East Asia;195;e;210;e;410;e
;;;East and Central Asia;290;e;200;e;490;e
;;;Australia and Oceania;20;e;15;e;35;e
;;;Countries of origin of foreign workers;2480;e;2035;e;4515;e
;;;Territory of former Yugoslavia;765;e;780;e;1540;e
;;;Territory of former Serbia and Montenegro;230;e;240;e;470;e
;;;Territory of the former Soviet Union;830;e;1255;e;2085;e
;;;Territory of former Czechoslovakia;235;e;305;e;540;e
;;;United Kingdom incl. British overseas territories;110;e;65;e;180;e
;09181;Landsberg am Lech, Landkreis;Total;7895;e;6720;e;14620;e
;;;videlicet:;;;;;;
;;;Europe;5715;e;5170;e;10885;e
;;;EU-27 (since 2020-02-01);3655;e;2980;e;6635;e
;;;EU-27 third countries (since 2020-02-01);4240;e;3740;e;7985;e
;;;EU-28 (until 2020-01-31);3730;e;3035;e;6760;e
;;;EU-28 third countries (until 2020-01-31);4170;e;3690;e;7855;e
;;;EU-27 (until 2013-06-30);3235;e;2650;e;5885;e
;;;EU-27 third countries (until 2013-06-30);4660;e;4070;e;8735;e
;;;EU-25 (until 2006-12-31);2435;e;1980;e;4415;e
;;;EU-25 third countries (until 2006-12-31);5460;e;4745;e;10205;e
;;;EU-15 (until 2004-04-30);1380;e;1120;e;2495;e
;;;EU-15 third countries (until 2004-04-30);6520;e;5605;e;12120;e
;;;EC-12 (until 1994-12-31);940;e;705;e;1645;e
;;;EC-12 third countries (until 1994-12-31);6955;e;6015;e;12970;e
;;;EC-10 (until 1985-12-31);840;e;590;e;1430;e
;;;EC-10 third countries (until 1985-12-31);7060;e;6130;e;13190;e
;;;EC-9 (until 1980-12-31);695;e;505;e;1205;e
;;;EC-9 third countries (until 1980-12-31);7200;e;6215;e;13415;e
;;;EEC-6 (until 1972-12-31);590;e;430;e;1020;e
;;;EEC-6 third countries (until 1972-12-31);7305;e;6295;e;13600;e
;;;Africa;730;e;370;e;1100;e
;;;North Africa;60;e;35;e;95;e
;;;West Africa;240;e;150;e;390;e
;;;Central Africa;35;e;25;e;60;e
;;;East Africa;380;e;140;e;520;e
;;;Southern Africa;15;e;15;e;35;e
;;;America;200;e;270;e;470;e
;;;North America;120;e;120;e;240;e
;;;Central America and Caribbean;20;e;35;e;55;e
;;;South America;60;e;120;e;180;e
;;;Asia;1190;e;880;e;2070;e
;;;South West Asia;515;e;260;e;775;e
;;;South and South East Asia;275;e;305;e;580;e
;;;East and Central Asia;400;e;315;e;720;e
;;;Australia and Oceania;15;e;10;e;25;e
;;;Countries of origin of foreign workers;2500;e;1865;e;4365;e
;;;Territory of former Yugoslavia;1315;e;1030;e;2350;e
;;;Territory of former Serbia and Montenegro;445;e;355;e;800;e
;;;Territory of the former Soviet Union;730;e;1225;e;1955;e
;;;Territory of former Czechoslovakia;130;e;155;e;285;e
;;;United Kingdom incl. British overseas territories;75;e;55;e;125;e
;09182;Miesbach, Landkreis;Total;8070;e;7250;e;15320;e
;;;videlicet:;;;;;;
;;;Europe;6640;e;6200;e;12835;e
;;;EU-27 (since 2020-02-01);4565;e;4200;e;8765;e
;;;EU-27 third countries (since 2020-02-01);3500;e;3050;e;6555;e
;;;EU-28 (until 2020-01-31);4640;e;4235;e;8875;e
;;;EU-28 third countries (until 2020-01-31);3430;e;3020;e;6445;e
;;;EU-27 (until 2013-06-30);4100;e;3695;e;7795;e
;;;EU-27 third countries (until 2013-06-30);3965;e;3555;e;7525;e
;;;EU-25 (until 2006-12-31);2895;e;2670;e;5560;e
;;;EU-25 third countries (until 2006-12-31);5175;e;4585;e;9760;e
;;;EU-15 (until 2004-04-30);1585;e;1365;e;2950;e
;;;EU-15 third countries (until 2004-04-30);6480;e;5890;e;12370;e
;;;EC-12 (until 1994-12-31);1010;e;705;e;1715;e
;;;EC-12 third countries (until 1994-12-31);7060;e;6545;e;13605;e
;;;EC-10 (until 1985-12-31);905;e;615;e;1520;e
;;;EC-10 third countries (until 1985-12-31);7165;e;6635;e;13800;e
;;;EC-9 (until 1980-12-31);770;e;525;e;1290;e
;;;EC-9 third countries (until 1980-12-31);7300;e;6730;e;14030;e
;;;EEC-6 (until 1972-12-31);675;e;470;e;1145;e
;;;EEC-6 third countries (until 1972-12-31);7395;e;6780;e;14175;e
;;;Africa;370;e;225;e;595;e
;;;North Africa;70;e;45;e;110;e
;;;West Africa;120;e;55;e;175;e
;;;Central Africa;30;e;15;e;45;e
;;;East Africa;140;e;95;e;240;e
;;;Southern Africa;15;e;15;e;25;e
;;;America;165;e;220;e;385;e
;;;North America;85;e;85;e;170;e
;;;Central America and Caribbean;15;e;40;e;55;e
;;;South America;65;e;100;e;165;e
;;;Asia;860;e;590;e;1450;e
;;;South West Asia;375;e;150;e;525;e
;;;South and South East Asia;190;e;240;e;430;e
;;;East and Central Asia;295;e;200;e;495;e
;;;Australia and Oceania;15;e;5;e;20;e
;;;Countries of origin of foreign workers;2845;e;2200;e;5045;e
;;;Territory of former Yugoslavia;1215;e;1115;e;2330;e
;;;Territory of former Serbia and Montenegro;410;e;340;e;755;e
;;;Territory of the former Soviet Union;525;e;875;e;1400;e
;;;Territory of former Czechoslovakia;340;e;365;e;705;e
;;;United Kingdom incl. British overseas territories;75;e;35;e;110;e
;09183;Mühldorf am Inn, Landkreis;Total;10910;e;8620;e;19530;e
;;;videlicet:;;;;;;
;;;Europe;9210;e;7255;e;16470;e
;;;EU-27 (since 2020-02-01);6220;e;4365;e;10590;e
;;;EU-27 third countries (since 2020-02-01);4685;e;4255;e;8940;e
;;;EU-28 (until 2020-01-31);6260;e;4385;e;10645;e
;;;EU-28 third countries (until 2020-01-31);4650;e;4235;e;8885;e
;;;EU-27 (until 2013-06-30);5575;e;3860;e;9430;e
;;;EU-27 third countries (until 2013-06-30);5335;e;4765;e;10100;e
;;;EU-25 (until 2006-12-31);3385;e;2350;e;5735;e
;;;EU-25 third countries (until 2006-12-31);7520;e;6270;e;13795;e
;;;EU-15 (until 2004-04-30);1020;e;815;e;1835;e
;;;EU-15 third countries (until 2004-04-30);9890;e;7805;e;17695;e
;;;EC-12 (until 1994-12-31);625;e;425;e;1050;e
;;;EC-12 third countries (until 1994-12-31);10280;e;8195;e;18475;e
;;;EC-10 (until 1985-12-31);565;e;370;e;935;e
;;;EC-10 third countries (until 1985-12-31);10345;e;8250;e;18595;e
;;;EC-9 (until 1980-12-31);420;e;265;e;685;e
;;;EC-9 third countries (until 1980-12-31);10485;e;8355;e;18845;e
;;;EEC-6 (until 1972-12-31);370;e;235;e;610;e
;;;EEC-6 third countries (until 1972-12-31);10535;e;8385;e;18920;e
;;;Africa;435;e;280;e;720;e
;;;North Africa;70;e;35;e;105;e
;;;West Africa;175;e;135;e;310;e
;;;Central Africa;25;e;25;e;50;e
;;;East Africa;145;e;75;e;220;e
;;;Southern Africa;25;e;10;e;35;e
;;;America;90;e;160;e;250;e
;;;North America;45;e;40;e;85;e
;;;Central America and Caribbean;10;e;15;e;30;e
;;;South America;35;e;100;e;135;e
;;;Asia;1095;e;860;e;1950;e
;;;South West Asia;485;e;290;e;775;e
;;;South and South East Asia;205;e;245;e;445;e
;;;East and Central Asia;405;e;325;e;730;e
;;;Australia and Oceania;5;e;5;e;15;e
;;;Countries of origin of foreign workers;3495;e;2745;e;6240;e
;;;Territory of former Yugoslavia;1975;e;1620;e;3590;e
;;;Territory of former Serbia and Montenegro;670;e;565;e;1235;e
;;;Territory of the former Soviet Union;740;e;1085;e;1830;e
;;;Territory of former Czechoslovakia;320;e;240;e;560;e
;;;United Kingdom incl. British overseas territories;40;e;20;e;55;e
;09184;München, Landkreis;Total;43300;e;39910;e;83210;e
;;;videlicet:;;;;;;
;;;Europe;33200;e;30490;e;63690;e
;;;EU-27 (since 2020-02-01);21885;e;18445;e;40330;e
;;;EU-27 third countries (since 2020-02-01);21415;e;21465;e;42875;e
;;;EU-28 (until 2020-01-31);22270;e;18710;e;40985;e
;;;EU-28 third countries (until 2020-01-31);21030;e;21195;e;42225;e
;;;EU-27 (until 2013-06-30);18715;e;15655;e;34370;e
;;;EU-27 third countries (until 2013-06-30);24585;e;24255;e;48840;e
;;;EU-25 (until 2006-12-31);14685;e;12635;e;27320;e
;;;EU-25 third countries (until 2006-12-31);28615;e;27270;e;55885;e
;;;EU-15 (until 2004-04-30);9895;e;8305;e;18200;e
;;;EU-15 third countries (until 2004-04-30);33405;e;31600;e;65005;e
;;;EC-12 (until 1994-12-31);7235;e;5715;e;12950;e
;;;EC-12 third countries (until 1994-12-31);36065;e;34195;e;70260;e
;;;EC-10 (until 1985-12-31);6280;e;4795;e;11075;e
;;;EC-10 third countries (until 1985-12-31);37020;e;35115;e;72135;e
;;;EC-9 (until 1980-12-31);4865;e;3610;e;8470;e
;;;EC-9 third countries (until 1980-12-31);38435;e;36300;e;74735;e
;;;EEC-6 (until 1972-12-31);4260;e;3170;e;7430;e
;;;EEC-6 third countries (until 1972-12-31);39040;e;36740;e;75775;e
;;;Africa;2000;e;1435;e;3435;e
;;;North Africa;565;e;455;e;1020;e
;;;West Africa;755;e;450;e;1200;e
;;;Central Africa;115;e;90;e;205;e
;;;East Africa;490;e;360;e;850;e
;;;Southern Africa;75;e;85;e;160;e
;;;America;1060;e;1540;e;2600;e
;;;North America;530;e;595;e;1125;e
;;;Central America and Caribbean;140;e;215;e;355;e
;;;South America;390;e;730;e;1120;e
;;;Asia;6850;e;6270;e;13115;e
;;;South West Asia;1480;e;1185;e;2665;e
;;;South and South East Asia;2785;e;2765;e;5550;e
;;;East and Central Asia;2585;e;2315;e;4900;e
;;;Australia and Oceania;80;e;75;e;155;e
;;;Countries of origin of foreign workers;17090;e;13990;e;31080;e
;;;Territory of former Yugoslavia;8570;e;7130;e;15700;e
;;;Territory of former Serbia and Montenegro;2410;e;1955;e;4365;e
;;;Territory of the former Soviet Union;3195;e;5545;e;8740;e
;;;Territory of former Czechoslovakia;665;e;725;e;1390;e
;;;United Kingdom incl. British overseas territories;390;e;270;e;660;e
;09185;Neuburg-Schrobenhausen, Landkreis;Total;7685;e;6225;e;13910;e
;;;videlicet:;;;;;;
;;;Europe;6115;e;4960;e;11075;e
;;;EU-27 (since 2020-02-01);4055;e;2805;e;6860;e
;;;EU-27 third countries (since 2020-02-01);3630;e;3420;e;7055;e
;;;EU-28 (until 2020-01-31);4080;e;2820;e;6900;e
;;;EU-28 third countries (until 2020-01-31);3605;e;3405;e;7010;e
;;;EU-27 (until 2013-06-30);3600;e;2490;e;6090;e
;;;EU-27 third countries (until 2013-06-30);4085;e;3735;e;7820;e
;;;EU-25 (until 2006-12-31);2160;e;1480;e;3640;e
;;;EU-25 third countries (until 2006-12-31);5525;e;4745;e;10275;e
;;;EU-15 (until 2004-04-30);725;e;515;e;1235;e
;;;EU-15 third countries (until 2004-04-30);6960;e;5715;e;12675;e
;;;EC-12 (until 1994-12-31);580;e;390;e;970;e
;;;EC-12 third countries (until 1994-12-31);7105;e;5835;e;12940;e
;;;EC-10 (until 1985-12-31);430;e;285;e;720;e
;;;EC-10 third countries (until 1985-12-31);7255;e;5940;e;13195;e
;;;EC-9 (until 1980-12-31);345;e;230;e;575;e
;;;EC-9 third countries (until 1980-12-31);7340;e;5995;e;13335;e
;;;EEC-6 (until 1972-12-31);305;e;205;e;510;e
;;;EEC-6 third countries (until 1972-12-31);7380;e;6020;e;13400;e
;;;Africa;345;e;255;e;600;e
;;;North Africa;40;e;25;e;65;e
;;;West Africa;150;e;125;e;270;e
;;;Central Africa;30;e;40;e;70;e
;;;East Africa;120;e;60;e;180;e
;;;Southern Africa;5;e;10;e;15;e
;;;America;65;e;90;e;155;e
;;;North America;35;e;25;e;60;e
;;;Central America and Caribbean;10;e;15;e;30;e
;;;South America;20;e;45;e;65;e
;;;Asia;1130;e;900;e;2030;e
;;;South West Asia;475;e;290;e;765;e
;;;South and South East Asia;170;e;265;e;435;e
;;;East and Central Asia;485;e;350;e;830;e
;;;Australia and Oceania;-;;-;;5;e
;;;Countries of origin of foreign workers;2505;e;1980;e;4485;e
;;;Territory of former Yugoslavia;1415;e;1170;e;2580;e
;;;Territory of former Serbia and Montenegro;455;e;420;e;875;e
;;;Territory of the former Soviet Union;595;e;915;e;1510;e
;;;Territory of former Czechoslovakia;270;e;210;e;480;e
;;;United Kingdom incl. British overseas territories;25;e;15;e;45;e
;09186;Pfaffenhofen an der Ilm, Landkreis;Total;10075;e;8165;e;18235;e
;;;videlicet:;;;;;;
;;;Europe;8575;e;7040;e;15615;e
;;;EU-27 (since 2020-02-01);5625;e;4105;e;9730;e
;;;EU-27 third countries (since 2020-02-01);4445;e;4060;e;8505;e
;;;EU-28 (until 2020-01-31);5675;e;4140;e;9815;e
;;;EU-28 third countries (until 2020-01-31);4395;e;4025;e;8420;e
;;;EU-27 (until 2013-06-30);5095;e;3710;e;8805;e
;;;EU-27 third countries (until 2013-06-30);4980;e;4455;e;9435;e
;;;EU-25 (until 2006-12-31);3075;e;2180;e;5255;e
;;;EU-25 third countries (until 2006-12-31);7000;e;5985;e;12985;e
;;;EU-15 (until 2004-04-30);1210;e;895;e;2110;e
;;;EU-15 third countries (until 2004-04-30);8865;e;7265;e;16130;e
;;;EC-12 (until 1994-12-31);930;e;610;e;1545;e
;;;EC-12 third countries (until 1994-12-31);9145;e;7550;e;16695;e
;;;EC-10 (until 1985-12-31);730;e;490;e;1215;e
;;;EC-10 third countries (until 1985-12-31);9345;e;7675;e;17020;e
;;;EC-9 (until 1980-12-31);600;e;400;e;1000;e
;;;EC-9 third countries (until 1980-12-31);9475;e;7760;e;17235;e
;;;EEC-6 (until 1972-12-31);535;e;350;e;885;e
;;;EEC-6 third countries (until 1972-12-31);9540;e;7810;e;17350;e
;;;Africa;315;e;210;e;525;e
;;;North Africa;65;e;45;e;110;e
;;;West Africa;120;e;50;e;170;e
;;;Central Africa;20;e;20;e;35;e
;;;East Africa;95;e;75;e;165;e
;;;Southern Africa;15;e;25;e;40;e
;;;America;105;e;190;e;300;e
;;;North America;65;e;75;e;140;e
;;;Central America and Caribbean;15;e;35;e;50;e
;;;South America;25;e;80;e;105;e
;;;Asia;1035;e;680;e;1715;e
;;;South West Asia;330;e;170;e;500;e
;;;South and South East Asia;220;e;255;e;475;e
;;;East and Central Asia;485;e;255;e;740;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;3505;e;2650;e;6150;e
;;;Territory of former Yugoslavia;1835;e;1395;e;3230;e
;;;Territory of former Serbia and Montenegro;780;e;555;e;1330;e
;;;Territory of the former Soviet Union;845;e;1230;e;2075;e
;;;Territory of former Czechoslovakia;310;e;255;e;565;e
;;;United Kingdom incl. British overseas territories;50;e;35;e;85;e
;09187;Rosenheim, Landkreis;Total;18465;e;16125;e;34590;e
;;;videlicet:;;;;;;
;;;Europe;14975;e;13280;e;28260;e
;;;EU-27 (since 2020-02-01);9980;e;8265;e;18240;e
;;;EU-27 third countries (since 2020-02-01);8485;e;7865;e;16350;e
;;;EU-28 (until 2020-01-31);10090;e;8315;e;18405;e
;;;EU-28 third countries (until 2020-01-31);8370;e;7810;e;16185;e
;;;EU-27 (until 2013-06-30);8520;e;7055;e;15575;e
;;;EU-27 third countries (until 2013-06-30);9940;e;9075;e;19015;e
;;;EU-25 (until 2006-12-31);6380;e;5405;e;11790;e
;;;EU-25 third countries (until 2006-12-31);12080;e;10720;e;22800;e
;;;EU-15 (until 2004-04-30);3390;e;3080;e;6465;e
;;;EU-15 third countries (until 2004-04-30);15075;e;13050;e;28125;e
;;;EC-12 (until 1994-12-31);1925;e;1295;e;3225;e
;;;EC-12 third countries (until 1994-12-31);16535;e;14830;e;31365;e
;;;EC-10 (until 1985-12-31);1695;e;1125;e;2815;e
;;;EC-10 third countries (until 1985-12-31);16770;e;15005;e;31775;e
;;;EC-9 (until 1980-12-31);1515;e;985;e;2500;e
;;;EC-9 third countries (until 1980-12-31);16950;e;15140;e;32090;e
;;;EEC-6 (until 1972-12-31);1355;e;905;e;2260;e
;;;EEC-6 third countries (until 1972-12-31);17110;e;15220;e;32330;e
;;;Africa;1025;e;675;e;1695;e
;;;North Africa;165;e;90;e;250;e
;;;West Africa;470;e;325;e;795;e
;;;Central Africa;45;e;35;e;80;e
;;;East Africa;315;e;195;e;510;e
;;;Southern Africa;30;e;30;e;60;e
;;;America;330;e;460;e;795;e
;;;North America;205;e;185;e;390;e
;;;Central America and Caribbean;35;e;60;e;90;e
;;;South America;95;e;220;e;315;e
;;;Asia;2030;e;1635;e;3665;e
;;;South West Asia;845;e;470;e;1320;e
;;;South and South East Asia;430;e;610;e;1040;e
;;;East and Central Asia;755;e;555;e;1310;e
;;;Australia and Oceania;30;e;30;e;60;e
;;;Countries of origin of foreign workers;6855;e;5310;e;12160;e
;;;Territory of former Yugoslavia;3950;e;3290;e;7240;e
;;;Territory of former Serbia and Montenegro;1215;e;1030;e;2245;e
;;;Territory of the former Soviet Union;1385;e;2145;e;3525;e
;;;Territory of former Czechoslovakia;485;e;555;e;1040;e
;;;United Kingdom incl. British overseas territories;115;e;50;e;165;e
;09188;Starnberg, Landkreis;Total;12740;e;12435;e;25175;e
;;;videlicet:;;;;;;
;;;Europe;9805;e;9590;e;19400;e
;;;EU-27 (since 2020-02-01);6365;e;5710;e;12075;e
;;;EU-27 third countries (since 2020-02-01);6375;e;6730;e;13100;e
;;;EU-28 (until 2020-01-31);6625;e;5895;e;12520;e
;;;EU-28 third countries (until 2020-01-31);6115;e;6540;e;12655;e
;;;EU-27 (until 2013-06-30);5550;e;4935;e;10485;e
;;;EU-27 third countries (until 2013-06-30);7190;e;7500;e;14690;e
;;;EU-25 (until 2006-12-31);4495;e;3990;e;8485;e
;;;EU-25 third countries (until 2006-12-31);8245;e;8445;e;16690;e
;;;EU-15 (until 2004-04-30);2945;e;2465;e;5410;e
;;;EU-15 third countries (until 2004-04-30);9795;e;9975;e;19765;e
;;;EC-12 (until 1994-12-31);2030;e;1525;e;3555;e
;;;EC-12 third countries (until 1994-12-31);10710;e;10910;e;21620;e
;;;EC-10 (until 1985-12-31);1755;e;1260;e;3015;e
;;;EC-10 third countries (until 1985-12-31);10985;e;11175;e;22160;e
;;;EC-9 (until 1980-12-31);1585;e;1130;e;2715;e
;;;EC-9 third countries (until 1980-12-31);11155;e;11305;e;22460;e
;;;EEC-6 (until 1972-12-31);1255;e;865;e;2125;e
;;;EEC-6 third countries (until 1972-12-31);11485;e;11570;e;23055;e
;;;Africa;655;e;525;e;1180;e
;;;North Africa;115;e;85;e;200;e
;;;West Africa;280;e;190;e;470;e
;;;Central Africa;40;e;35;e;75;e
;;;East Africa;185;e;160;e;345;e
;;;Southern Africa;35;e;50;e;90;e
;;;America;450;e;625;e;1075;e
;;;North America;285;e;325;e;610;e
;;;Central America and Caribbean;35;e;65;e;100;e
;;;South America;130;e;235;e;360;e
;;;Asia;1740;e;1635;e;3375;e
;;;South West Asia;445;e;350;e;790;e
;;;South and South East Asia;500;e;550;e;1050;e
;;;East and Central Asia;800;e;735;e;1535;e
;;;Australia and Oceania;45;e;45;e;90;e
;;;Countries of origin of foreign workers;4775;e;3940;e;8715;e
;;;Territory of former Yugoslavia;2645;e;2330;e;4975;e
;;;Territory of former Serbia and Montenegro;865;e;730;e;1600;e
;;;Territory of the former Soviet Union;950;e;1785;e;2735;e
;;;Territory of former Czechoslovakia;305;e;355;e;660;e
;;;United Kingdom incl. British overseas territories;255;e;185;e;445;e
;09189;Traunstein, Landkreis;Total;12505;e;11185;e;23690;e
;;;videlicet:;;;;;;
;;;Europe;10135;e;9480;e;19615;e
;;;EU-27 (since 2020-02-01);7410;e;6505;e;13915;e
;;;EU-27 third countries (since 2020-02-01);5095;e;4680;e;9775;e
;;;EU-28 (until 2020-01-31);7480;e;6535;e;14010;e
;;;EU-28 third countries (until 2020-01-31);5030;e;4650;e;9680;e
;;;EU-27 (until 2013-06-30);6100;e;5220;e;11320;e
;;;EU-27 third countries (until 2013-06-30);6405;e;5965;e;12370;e
;;;EU-25 (until 2006-12-31);3955;e;3550;e;7505;e
;;;EU-25 third countries (until 2006-12-31);8550;e;7635;e;16185;e
;;;EU-15 (until 2004-04-30);2185;e;2120;e;4310;e
;;;EU-15 third countries (until 2004-04-30);10320;e;9065;e;19380;e
;;;EC-12 (until 1994-12-31);1065;e;745;e;1810;e
;;;EC-12 third countries (until 1994-12-31);11440;e;10440;e;21880;e
;;;EC-10 (until 1985-12-31);925;e;630;e;1555;e
;;;EC-10 third countries (until 1985-12-31);11580;e;10555;e;22135;e
;;;EC-9 (until 1980-12-31);695;e;465;e;1155;e
;;;EC-9 third countries (until 1980-12-31);11815;e;10720;e;22535;e
;;;EEC-6 (until 1972-12-31);605;e;410;e;1015;e
;;;EEC-6 third countries (until 1972-12-31);11900;e;10775;e;22675;e
;;;Africa;505;e;375;e;875;e
;;;North Africa;75;e;45;e;120;e
;;;West Africa;230;e;200;e;430;e
;;;Central Africa;35;e;20;e;55;e
;;;East Africa;155;e;100;e;255;e
;;;Southern Africa;5;e;10;e;20;e
;;;America;190;e;235;e;420;e
;;;North America;100;e;90;e;190;e
;;;Central America and Caribbean;20;e;30;e;50;e
;;;South America;70;e;115;e;180;e
;;;Asia;1580;e;1045;e;2625;e
;;;South West Asia;560;e;330;e;890;e
;;;South and South East Asia;240;e;300;e;535;e
;;;East and Central Asia;780;e;420;e;1200;e
;;;Australia and Oceania;20;e;10;e;35;e
;;;Countries of origin of foreign workers;3910;e;3170;e;7080;e
;;;Territory of former Yugoslavia;2450;e;2230;e;4680;e
;;;Territory of former Serbia and Montenegro;545;e;470;e;1015;e
;;;Territory of the former Soviet Union;1135;e;1795;e;2930;e
;;;Territory of former Czechoslovakia;290;e;290;e;585;e
;;;United Kingdom incl. British overseas territories;65;e;30;e;100;e
;09190;Weilheim-Schongau, Landkreis;Total;9375;e;8370;e;17750;e
;;;videlicet:;;;;;;
;;;Europe;7345;e;6745;e;14090;e
;;;EU-27 (since 2020-02-01);4120;e;3515;e;7635;e
;;;EU-27 third countries (since 2020-02-01);5260;e;4855;e;10115;e
;;;EU-28 (until 2020-01-31);4180;e;3545;e;7725;e
;;;EU-28 third countries (until 2020-01-31);5195;e;4825;e;10020;e
;;;EU-27 (until 2013-06-30);3575;e;3030;e;6605;e
;;;EU-27 third countries (until 2013-06-30);5800;e;5345;e;11145;e
;;;EU-25 (until 2006-12-31);2825;e;2380;e;5205;e
;;;EU-25 third countries (until 2006-12-31);6550;e;5990;e;12540;e
;;;EU-15 (until 2004-04-30);1725;e;1360;e;3085;e
;;;EU-15 third countries (until 2004-04-30);7655;e;7010;e;14665;e
;;;EC-12 (until 1994-12-31);1265;e;920;e;2185;e
;;;EC-12 third countries (until 1994-12-31);8115;e;7450;e;15565;e
;;;EC-10 (until 1985-12-31);1115;e;795;e;1910;e
;;;EC-10 third countries (until 1985-12-31);8265;e;7575;e;15840;e
;;;EC-9 (until 1980-12-31);830;e;595;e;1430;e
;;;EC-9 third countries (until 1980-12-31);8545;e;7775;e;16320;e
;;;EEC-6 (until 1972-12-31);750;e;545;e;1295;e
;;;EEC-6 third countries (until 1972-12-31);8625;e;7830;e;16455;e
;;;Africa;490;e;315;e;805;e
;;;North Africa;90;e;60;e;145;e
;;;West Africa;180;e;110;e;290;e
;;;Central Africa;30;e;20;e;50;e
;;;East Africa;170;e;115;e;285;e
;;;Southern Africa;20;e;15;e;35;e
;;;America;185;e;260;e;445;e
;;;North America;110;e;110;e;220;e
;;;Central America and Caribbean;15;e;35;e;55;e
;;;South America;60;e;110;e;170;e
;;;Asia;1300;e;1000;e;2300;e
;;;South West Asia;515;e;300;e;815;e
;;;South and South East Asia;275;e;350;e;625;e
;;;East and Central Asia;510;e;355;e;860;e
;;;Australia and Oceania;10;e;10;e;15;e
;;;Countries of origin of foreign workers;4095;e;3225;e;7325;e
;;;Territory of former Yugoslavia;1860;e;1595;e;3450;e
;;;Territory of former Serbia and Montenegro;700;e;575;e;1275;e
;;;Territory of the former Soviet Union;770;e;1280;e;2050;e
;;;Territory of former Czechoslovakia;240;e;260;e;505;e
;;;United Kingdom incl. British overseas territories;65;e;30;e;90;e
;09261;Landshut, kreisfreie Stadt;Total;9455;e;8725;e;18180;e
;;;videlicet:;;;;;;
;;;Europe;7325;e;7115;e;14440;e
;;;EU-27 (since 2020-02-01);4440;e;3965;e;8400;e
;;;EU-27 third countries (since 2020-02-01);5015;e;4765;e;9775;e
;;;EU-28 (until 2020-01-31);4470;e;3985;e;8455;e
;;;EU-28 third countries (until 2020-01-31);4985;e;4740;e;9725;e
;;;EU-27 (until 2013-06-30);3760;e;3345;e;7105;e
;;;EU-27 third countries (until 2013-06-30);5695;e;5380;e;11075;e
;;;EU-25 (until 2006-12-31);2165;e;1975;e;4140;e
;;;EU-25 third countries (until 2006-12-31);7290;e;6750;e;14040;e
;;;EU-15 (until 2004-04-30);1025;e;875;e;1900;e
;;;EU-15 third countries (until 2004-04-30);8425;e;7855;e;16280;e
;;;EC-12 (until 1994-12-31);840;e;665;e;1505;e
;;;EC-12 third countries (until 1994-12-31);8615;e;8060;e;16675;e
;;;EC-10 (until 1985-12-31);740;e;605;e;1345;e
;;;EC-10 third countries (until 1985-12-31);8710;e;8120;e;16835;e
;;;EC-9 (until 1980-12-31);555;e;430;e;985;e
;;;EC-9 third countries (until 1980-12-31);8900;e;8295;e;17195;e
;;;EEC-6 (until 1972-12-31);510;e;395;e;905;e
